#,Symbol,Company,Index,Unnamed: 4,Unnamed: 5,Unnamed: 6
432.0,MAA,Mid-America Apartment Communities,S&P500,,,
433.0,IEX,IDEX Corporation,S&P500,,,
434.0,INVH,Invitation Homes,S&P500,,,
435.0,MAS,Masco,S&P500,,,
436.0,AVY,Avery Dennison,S&P500,,,
437.0,CF,CF Industries,S&P500,,,
438.0,CLX,Clorox,S&P500,,,
439.0,BEN,Franklin Resources,S&P500,,,
440.0,UHS,Universal Health Services,S&P500,,,
441.0,ERIE,Erie Indemnity,S&P500,,,
442.0,SWK,Stanley Black & Decker,S&P500,,,
443.0,HAS,Hasbro,S&P500,,,
444.0,REG,Regency Centers,S&P500,,,
445.0,HST,Host Hotels & Resorts,S&P500,,,
446.0,ALLE,Allegion,S&P500,,,
447.0,EG,Everest Group,S&P500,,,
448.0,BF.B,Brown–Forman,S&P500,,,
449.0,HRL,Hormel Foods,S&P500,,,
450.0,TYL,Tyler Technologies,S&P500,,,
451.0,ALGN,Align Technology,S&P500,,,
452.0,AKAM,Akamai Technologies,S&P500,,,
453.0,GEN,Gen Digital,S&P500,,,
454.0,BBY,Best Buy,S&P500,,,
455.0,GNRC,Generac,S&P500,,,
456.0,DPZ,Domino's,S&P500,,,
457.0,SOLV,Solventum,S&P500,,,
458.0,ZBRA,Zebra Technologies,S&P500,,,
459.0,GDDY,GoDaddy,S&P500,,,
460.0,BLDR,Builders FirstSource,S&P500,,,
461.0,UDR,"UDR, Inc.",S&P500,,,
462.0,TTD,"The Trade Desk, Inc.",S&P500,,,
463.0,WYNN,Wynn Resorts,S&P500,,,
464.0,PSKY,Paramount Skydance Corp,S&P500,,,
465.0,DOC,Healthpeak Properties,S&P500,,,
466.0,SJM,J.M. Smucker Company (The),S&P500,,,
467.0,PNW,Pinnacle West,S&P500,,,
468.0,AES,AES Corporation,S&P500,,,
469.0,IVZ,Invesco,S&P500,,,
470.0,FOX,Fox Corporation (Class B),S&P500,,,
471.0,GL,Globe Life,S&P500,,,
472.0,JKHY,Jack Henry & Associates,S&P500,,,
473.0,FOXA,Fox Corporation (Class A),S&P500,,,
474.0,RVTY,Revvity,S&P500,,,
475.0,AIZ,Assurant,S&P500,,,
476.0,BAX,Baxter International,S&P500,,,
477.0,CPT,Camden Property Trust,S&P500,,,
478.0,NCLH,Norwegian Cruise Line Holdings,S&P500,,,
479.0,IT,Gartner,S&P500,,,
480.0,AOS,A. O. Smith,S&P500,,,
481.0,APA,APA Corporation,S&P500,,,
482.0,DVA,DaVita,S&P500,,,
483.0,TAP,Molson Coors Beverage Company,S&P500,,,
484.0,BXP,"BXP, Inc.",S&P500,,,
485.0,MGM,MGM Resorts,S&P500,,,
486.0,HSIC,Henry Schein,S&P500,,,
487.0,MOS,Mosaic Company (The),S&P500,,,
488.0,ARE,Alexandria Real Estate Equities,S&P500,,,
489.0,FRT,Federal Realty Investment Trust,S&P500,,,
490.0,SWKS,Skyworks Solutions,S&P500,,,
491.0,TECH,Bio-Techne,S&P500,,,
492.0,CAG,Conagra Brands,S&P500,,,
493.0,NWSA,News Corp (Class A),S&P500,,,
494.0,CRL,Charles River Laboratories,S&P500,,,
495.0,POOL,Pool Corporation,S&P500,,,
496.0,CPB,Campbell Soup Company,S&P500,,,
497.0,MOH,Molina Healthcare,S&P500,,,
498.0,EPAM,EPAM Systems,S&P500,,,
499.0,MTCH,Match Group,S&P500,,,
500.0,FDS,FactSet,S&P500,,,
501.0,LW,Lamb Weston,S&P500,,,
502.0,PAYC,Paycom,S&P500,,,
503.0,NWS,News Corp (Class B),S&P500,,,
11.0,ASML,ASML Holding,Nasdaq100,,,
30.0,SHOP,Shopify,Nasdaq100,,,
33.0,PDD,PDD Holdings,Nasdaq100,,,
35.0,ARM,Arm Holdings,Nasdaq100,,,
44.0,MELI,MercadoLibre,Nasdaq100,,,
63.0,MRVL,Marvell Technology,Nasdaq100,,,
70.0,FER,Ferrovial SE,Nasdaq100,,,
77.0,CCEP,Coca-Cola Europacific Partners,Nasdaq100,,,
78.0,ALNY,Alnylam Pharmaceuticals,Nasdaq100,,,
79.0,MSTR,MicroStrategy Inc.,Nasdaq100,,,
86.0,TRI,Thomson Reuters Corporation,Nasdaq100,,,
91.0,INSM,Insmed Incorporated,Nasdaq100,,,
98.0,ZS,Zscaler,Nasdaq100,,,
101.0,TEAM,Atlassian,Nasdaq100,,,
1.0,III,3i,FTSE100,,,
3.0,AAF,Airtel Africa,FTSE100,,,
4.0,ALW,Alliance Witan,FTSE100,,,
5.0,AAL,Anglo American plc,FTSE100,,,
6.0,ANTO,Antofagasta plc,FTSE100,,,
7.0,AHT,Ashtead Group,FTSE100,,,
8.0,ABF,Associated British Foods,FTSE100,,,
9.0,AZN,AstraZeneca,FTSE100,,,
10.0,AUTO,Autotrader Group,FTSE100,,,
11.0,AV,Aviva,FTSE100,,,
12.0,BAB,Babcock International,FTSE100,,,
14.0,BARC,Barclays,FTSE100,,,
15.0,BTRW,Barratt Redrow,FTSE100,,,
16.0,BEZ,Beazley,FTSE100,,,
17.0,BKG,Berkeley Group Holdings,FTSE100,,,
18.0,BP,BP,FTSE100,,,
19.0,BATS,British American Tobacco,FTSE100,,,
20.0,BLND,British Land,FTSE100,,,
21.0,BT-A,BT Group,FTSE100,,,
